model_id,category,miou,dice,pixel_acc,runtime_min
sam_vit_base,foundation_sam,0.4169300867448522,0.49848786407818885,0.7183748616066731,7.414023530483246
slimsam_50,foundation_sam,0.41632377056667896,0.49751282859275775,0.7181927990297945,7.057257866859436
slimsam_77,foundation_sam,0.41497318156854196,0.49610461866205363,0.7175018377091539,7.151181260744731
texturesam_03,foundation_texture,0.40023015128137684,0.48420307631294895,0.7144025291356021,7.244881721337636
hed_watershed,deep_edge,0.33745720977672794,0.4000558220133277,0.6826605413478787,0.470601228872935
pidi_watershed,deep_edge,0.335988330312415,0.3889928120462109,0.6942363269898264,0.4733721653620402
