model_id,category,subset,subset_name,family,image,miou,dice,pixel_acc
sam_vit_base,foundation_sam,4130-steel,4130 Steel,Steel,4130 x 20 (8).jpg,0.2619222005208333,0.3437650200267023,0.5238444010416666
sam_vit_base,foundation_sam,4130-steel,4130 Steel,Steel,4130 x 20 (9).jpg,0.2567138671875,0.33924826584933054,0.513427734375
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (1).jpg,0.3333604600694444,0.40001953061423784,0.6667209201388888
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (10).jpg,0.3750813802083333,0.4286245698874733,0.7501627604166666
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (11).jpg,0.4852566189236111,0.49251799947687946,0.9705132378472222
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (12).jpg,0.4870876736111111,0.49345938221391666,0.9741753472222222
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (13).jpg,0.4949137369791667,0.4974438673264897,0.9898274739583334
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (14).jpg,0.4920518663194444,0.49599409368078534,0.9841037326388888
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (15).jpg,0.4913601345486111,0.49564241835520106,0.9827202690972222
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (16).jpg,0.4878065321180556,0.4938280080737069,0.9756130642361112
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (17).jpg,0.4913330078125,0.4956286171653737,0.982666015625
sam_vit_base,foundation_sam,418-17-4ph-x20,418 Printed 17-4 PH Steel,Steel,x20 (18).jpg,0.4891221788194444,0.4945012752653375,0.9782443576388888
