subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
4130-steel,4130 Steel,Steel,4130 x 20 (5).jpg,0.7066101915137164,0.828065560681347,0.8282063802083334,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (6).jpg,0.7543953061190349,0.8599918797820658,0.860107421875,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (7).jpg,0.7421875472110544,0.8519488520271395,0.8524848090277778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (8).jpg,0.7353952961947787,0.8475089189017633,0.8476291232638888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (9).jpg,0.7244581091004858,0.8401490297350711,0.8406304253472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (10).jpg,0.7591988662499662,0.8630037147318531,0.8639594184027778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (11).jpg,0.7578805532318228,0.8619388825251402,0.8646375868055556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (12).jpg,0.7603307927106125,0.8636648497041213,0.8652072482638888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (13).jpg,0.776906304300449,0.8742116473794994,0.8763292100694444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
4130-steel,4130 Steel,Steel,4130 x 20 (14).jpg,0.765126898948105,0.8666684921358141,0.8689507378472222,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,5.749994277954102
