model_id,display_name,group,category,architecture,encoder,input_mode,subset,miou,dice,pixel_acc
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,418-17-4ph-x20,0.41648936310615675,0.5110795713035378,0.7311908378802909
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,418-17-4ph-x5,0.7553943382641433,0.8407706629836492,0.9727799479166667
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,5884-armor-steel,0.6891443984666912,0.8077408073377903,0.8265245225694444
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,6280-cast-iron-high,0.5701171781677389,0.6954411853115792,0.8254611545138889
dl_manet_r34,MAnet (ResNet34),general,attention,MAnet,resnet34,rgb,6280-cast-iron-low,0.3679874385905093,0.5257054650158426,0.5981494633838383
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,4130-steel,0.36196012235164937,0.5046487179690209,0.5815497504340278
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,418-17-4ph-x20,0.3046373750760625,0.3525681835985467,0.60927166005291
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,418-17-4ph-x5,0.6689773793501659,0.7613689309967531,0.9655305989583333
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,5884-armor-steel,0.5197781851475037,0.6618932937176899,0.7244001116071429
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,6280-cast-iron-high,0.18583834131043941,0.3121732101159144,0.3139729817708333
dl_pspnet_r34,PSPNet (ResNet34),general,pyramid,PSPNet,resnet34,rgb,6280-cast-iron-low,0.21486137622964507,0.3217565672287667,0.46369209674873735
dl_segformer_b0,SegFormer (MiT-B0),general,transformer,Segformer,mit_b0,rgb,4130-steel,0.27604308837932656,0.3555599977603032,0.5498060438368055
